GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34000","New Jersey",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",32504175,35294519,38078118,41394930,45063192,48945152,52877698,57408891,62802139,69699071,77362778,87046739,97264551,105090396,113438476,125567163,134573708,144070388,155341299,170597669,183042974,192163514,195933413,210510235,217595981,225284514,239164930,253062255,269605875,287264744,300654040,330613568,341787737,346163495,354361814,370214789,384731419,413114576,438001097,451052135,436503978,449927051,470008136,487527661,492488242,515515069,537105894,552051391,573105544,598428675,633651027,663544070,713720594
 "34000","New Jersey",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",7095000,7190282,7281935,7336538,7335240,7335227,7341417,7344079,7342027,7356414,7373048,7376330,7407471,7430970,7467784,7515474,7565530,7622161,7670741,7712333,7726086,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8809058,8876959,8933292,8984801,9033845,9076577,9119862,9174898,9218858,9258804,9279743,9267130
 "34000","New Jersey",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4581,4909,5229,5642,6143,6673,7203,7817,8554,9475,10493,11801,13131,14142,15190,16708,17788,18902,20251,22120,23692,24754,25072,26713,27374,28110,29588,31052,32804,34663,35965,39216,40245,40474,41198,42876,44467,47695,50473,51779,49854,51076,52947,54574,54813,57065,59175,60533,62465,64914,68438,71505,77016
 "34001","Atlantic, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",694634,782866,871879,964555,1081593,1173626,1283784,1421862,1575347,1779776,2069787,2386106,2735574,2921164,3177478,3586003,3831249,4099040,4343758,4747699,4945472,5065020,4796490,5394249,5662193,5805053,6268051,6682656,7028062,7331652,7551014,8003271,7465854,7739659,8035328,8560614,9047863,9912276,10393984,10707304,10456060,10643725,11092222,11344374,11508671,11773482,11889267,11961892,12305784,12731517,13757969,15155351,16033351
 "34001","Atlantic, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",174603,175908,179824,184987,187199,189113,189544,189613,189311,191121,193082,194566,195984,196548,199168,202752,206045,209388,212581,217445,221589,225431,228763,231612,234288,236589,239212,242152,244771,247863,250432,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274943,276084,277274,278140,277553,276237,274324,273651,273295,274085,274191,274966
 "34001","Atlantic, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3978,4450,4849,5214,5778,6206,6773,7499,8321,9312,10720,12264,13958,14862,15954,17687,18594,19576,20433,21834,22318,22468,20967,23290,24168,24536,26203,27597,28713,29579,30152,31549,29193,29853,30520,31976,33469,36475,38171,39219,38154,38712,40177,40914,41377,42419,43040,43605,44969,46585,50196,55273,58310
 "34003","Bergen, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",4928452,5295087,5627984,6064621,6556908,7082772,7588369,8179180,8904872,9877344,10914107,12252949,13771724,14816148,15950983,17752297,18994527,20201463,21877386,24079759,26062053,27027560,27144445,29331194,30001900,31473259,33510172,35667229,38337462,40518621,42012249,46298991,46279867,46280086,46018799,49303680,51109396,55782570,59523692,59994097,57590883,59650702,62556647,65765299,65584954,68239802,71656639,73212230,75686942,79752111,83968368,86654329,92848060
 "34003","Bergen, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",893713,896575,893789,884746,879576,873773,871592,865559,859951,855004,851298,845904,846358,844419,845965,845834,842541,840309,835367,831343,826527,826129,829599,837520,843198,848392,855242,862048,868897,875050,880225,885180,888782,890647,892214,893378,891446,889406,890817,895328,900319,906894,915051,921783,927974,933917,939423,943829,950448,953401,955240,954774,953819
 "34003","Bergen, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5515,5906,6297,6855,7455,8106,8706,9450,10355,11552,12821,14485,16272,17546,18855,20988,22544,24041,26189,28965,31532,32716,32720,35021,35581,37098,39182,41375,44122,46304,47729,52305,52071,51962,51578,55188,57333,62719,66819,67008,63967,65775,68364,71346,70675,73068,76277,77569,79633,83650,87903,90759,97343
 "34005","Burlington, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1340421,1466500,1617126,1799769,1949664,2134897,2327024,2615903,2859966,3200518,3612206,4087508,4540511,4903173,5310046,5789515,6274642,6730518,7239576,7848785,8430114,8882823,9127037,9874209,10085099,10534177,10997815,11604081,12348144,13128513,13886933,15196567,15755085,16326010,17078813,17901062,18517563,19737174,20553297,21412000,21312119,21758833,22499064,22984030,23187428,24094784,25044317,25738144,26459454,27274669,28594559,30322964,32265066
